step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
170.0,309,0,154,147,456,0,4030.0,13.042071197411003,6.126683569904101,14,252.0,0.2606810200762273,12,213.0,0.36223414495488027,8,249.0,0.4988668781690275,12,372.0,0.38283797004691017,9,262.0,0.2986464773819274,13,403.0,0.20877908747058932,14,409.0,0.3786349005571917,12,380.0,0.38320453372422825,13,216.0,0.45120451254955174,14,252.0,0.4339507283495149,3,87.0,0.5524480076347433,5,154.0,0.3881039392192329,4,116.0,0.6392884927955748,3,87.0,0.694262572180536,10,321.0,0.21216644087858252,8,257.0,0.31491743983700715,154,4030.0
175.0,313,0,158,159,472,0,4812.0,15.373801916932907,5.873519084461721,15,325.0,0.26326263718708154,14,280.0,0.3099028741718779,8,289.0,0.4542822430856917,12,432.0,0.40249316315372313,9,307.0,0.2978400079328286,13,468.0,0.17741532790717732,14,479.0,0.3218575270838907,12,440.0,0.4006915887462781,13,281.0,0.3987016994985851,15,324.0,0.3947215393338933,3,102.0,0.5424503722681472,5,179.0,0.3659451206983066,4,136.0,0.6024265711639252,3,102.0,0.6708951636471494,10,371.0,0.2815759789188134,8,297.0,0.25257687895955133,158,4812.0
180.0,315,0,82,165,480,0,1584.0,5.0285714285714285,5.011821141107006,10,235.0,0.2891034213295663,8,230.0,0.2579949262909683,8,331.0,0.30972739594832155,6,354.0,0.38112647670227645,2,180.0,0.376190950850728,6,353.0,0.24944080000433264,7,369.0,0.2200875146863717,5,356.0,0.302075446642967,11,232.0,0.22520291115458416,11,271.0,0.2362326930336908,1,35.0,0.6308482285452255,0,72.0,0.6504070027715505,3,75.0,0.3359916993941563,2,7.0,0.473204754789777,2,239.0,0.3470442865072613,0,156.0,0.3656243411910115,82,3495.0
185.0,323,0,78,173,496,0,301.0,0.9318885448916409,6.12400065300605,2,146.0,0.35546373050700086,4,116.0,0.27142172138496035,3,174.0,0.41973344104640514,8,189.0,0.2972658191726968,3,51.0,0.6458614122307854,2,211.0,0.5466565184149652,6,243.0,0.20194542013396563,7,186.0,0.3208923052348089,7,134.0,0.1753882482743986,10,172.0,0.19276545564352088,3,14.0,0.7000582294913897,2,8.0,0.6447518555057056,10,44.0,0.2961792368423907,7,33.0,0.3454021238529463,2,85.0,0.5717793028698755,2,8.0,0.599862713283166,78,1814.0
190.0,329,0,113,183,512,0,786.0,2.3890577507598785,7.368091458637318,4,82.0,0.5297431485667706,4,64.0,0.48089988501240083,5,28.0,0.3781536943617642,14,99.0,0.14967204051976274,5,35.0,0.6772071103023266,4,71.0,0.531448482353365,9,140.0,0.4515138317806195,13,90.0,0.419326290795105,9,110.0,0.3276068014731747,9,135.0,0.3416305168755274,4,30.0,0.6910226177758194,3,20.0,0.7176919446052287,11,97.0,0.4464107120546418,12,80.0,0.43685169310502037,4,26.0,0.51474159654543,3,22.0,0.5395062207679987,113,1129.0
195.0,320,0,123,200,520,0,1383.0,4.321875,7.405389613522577,6,51.0,0.5268205185726264,4,49.0,0.517866004746262,5,51.0,0.48839125380497,16,173.0,0.2237802409224167,5,54.0,0.4919963605460276,4,46.0,0.5938671742659227,9,114.0,0.47557407616570907,13,151.0,0.3730610708900592,9,119.0,0.3571362344771663,9,122.0,0.3768090440406337,6,50.0,0.5900347867954434,3,33.0,0.6976766908450588,12,154.0,0.440225381747518,12,138.0,0.40437415027488494,7,53.0,0.5133410498996631,3,34.0,0.5354150264586361,123,1392.0
200.0,315,0,130,221,536,0,2021.0,6.415873015873016,7.078095173278199,7,81.0,0.4361166662195928,4,69.0,0.4772393206829431,5,76.0,0.5878613478548508,16,253.0,0.3395735633123424,8,91.0,0.4099801931391391,4,66.0,0.5199432250217785,9,157.0,0.35656385012934294,13,216.0,0.2693612372709341,9,164.0,0.24171757337559643,9,163.0,0.321671739499049,8,87.0,0.5438492611125632,3,48.0,0.7082343969114753,12,214.0,0.4268329245388772,12,198.0,0.4605728062750582,8,89.0,0.5083170492014812,3,49.0,0.6786625968083827,130,2021.0
205.0,317,0,138,235,552,0,2701.0,8.520504731861198,6.874489435671453,10,129.0,0.4316032290931021,4,89.0,0.48178457704780514,5,101.0,0.6040977948305204,16,333.0,0.3678719486365349,10,137.0,0.41127569393014207,4,86.0,0.403163695454231,9,202.0,0.32480889624307746,13,281.0,0.25550134214552433,9,209.0,0.3054175003814046,9,208.0,0.3018023322524254,9,132.0,0.4496679729657951,3,63.0,0.6677537915169047,12,274.0,0.3792056389281549,12,258.0,0.41124605360795513,10,135.0,0.5181154404473908,3,64.0,0.6874118068967278,138,2701.0
210.0,306,0,145,254,560,0,3413.0,11.15359477124183,6.443041014148202,11,181.0,0.3238096723760037,4,109.0,0.46959322650147856,5,126.0,0.6059824525133277,16,413.0,0.36930932972646296,12,191.0,0.4017218292758501,4,106.0,0.5494699100478742,9,247.0,0.43765294030146795,13,346.0,0.3137286009902225,9,254.0,0.2406836518938341,9,253.0,0.24758617571941396,12,189.0,0.34125364202883623,3,78.0,0.5820972056743291,12,334.0,0.23150390329356785,12,318.0,0.329352936154485,11,189.0,0.4613538295590061,3,79.0,0.658167528266156,145,3413.0
215.0,303,0,152,273,576,0,4159.0,13.726072607260726,6.109930602332335,13,243.0,0.25392756183774834,4,129.0,0.48393012589239826,5,151.0,0.605949196290036,16,493.0,0.35040499206708375,13,252.0,0.41999770045372214,4,126.0,0.6669646908087294,9,292.0,0.49619750616207614,13,411.0,0.4079128736986224,9,299.0,0.29264018588997626,9,298.0,0.23891495027644347,13,253.0,0.3668630757684224,3,93.0,0.5171621174090154,12,394.0,0.1944089392386267,12,378.0,0.2755382216571519,14,253.0,0.3872275755066167,3,94.0,0.6732411826315962,152,4159.0
